avgHourlyAirTemp,avgHourlyHumidity,avgHourlyRainfallRate,avgHourlyBarometricPressure
[-11.0:172.6706054395071;-385.20521404525533;-96.74516388621193;40.5390962531648;2.2377089016819895;255.50296733711335],46.72:89.5581041307622;-247.32791815528574;-93.54292023390384;40.27758393224844;2.239775865826118;255.5153744603528],0.0:-318.73316125195834;105.37773208876831;-83.93619077451538;39.49304738235791;2.2459767902343177;255.55259576511313],1020.77:307.8291808656937;484.8093693774786;-67.92497977296645;38.185486603493175;2.2563116749066454;255.61463125139434]
[-10.72:-280.46766538811175;12.246763322482622;-36.826260969064634;36.35490159565427;2.2707805198430466;255.70148091919643],47.49:247.9840945105887;-485.8128948316619;-6.785020131330926;34.00129235884115;2.2893833250435747;255.81314476851938],0.0:-230.07180103644885;-63.64377366201779;4.329172915541399;31.124658893053756;2.3121200905082313;255.94962279936323],1020.58:234.22973077438522;488.0963357521137;12.07902283670871;27.725004808827457;2.3389908162370747;256.1109150117279]
[-10.36:-253.26534583508004;-46.328281951406524;12.224243479719664;18.342367398923347;2.369995502229933;256.2970214056136],47.43:272.59843239936606;-490.7498345405063;-2.101770633305133;8.770096644938423;2.4051341484869764;256.50794198102],0.0:-281.93300690118576;34.16917065209498;-11.075462295289551;-0.34878494857511433;2.4444067550079787;256.7436767379474],1019.94:280.4980045453982;492.3482736996079;-10.932452288996613;-1.4658650091074086;2.4878133767023733;257.0042256763956]
[-10.08:-274.1127846903721;4.52706373161962;-1.1243504764026833;0.4079788317334785;2.9325038070568947;257.2895887963648],47.91:268.83226005906647;-492.5625916027599;8.84542010003544;1.2927329602008761;3.9024123856023625;257.59976609785474],0.0:-267.010306502085;-4.727815496039369;8.734228117426412;0.6765741307559061;4.392563021256411;257.9347567286856],1020.16:267.5614505800338;491.80204179387636;1.717278959759744;-1.3370293043767978;-1.024373541345854;261.44063151205273]
[-9.22:-268.38621924742574;3.2138907657212883;-6.261105435898406;1.7117940551448412;-4.518409408636705;265.02004927109476],46.06:268.2738418879168;-490.2894376323751;0.059948557834429206;2.1223558651271093;-0.3311068230350551;266.2243981445318],0.0:-267.2967669326946;-9.832997057398046;7.033512123159577;-0.80865135715275;4.078536368462741;266.8263668556231],1018.56:266.2865036650907;487.4676970224434;-4.413189137216714;-2.9768907093881736;4.85688104247203;267.3389981165986]
[-8.55:-266.21015749583376;3.5695749387506908;-10.817187312431606;-4.2029697101638295;2.1911714972953815;266.9195680823831],53.79:267.71889281644525;-482.5629424546453;5.792915040746996;-2.070211145849976;-1.9283747789860373;266.83972052228904],0.0:-270.81893172340835;-11.668615810641938;15.75656341417201;3.9632148223087906;-4.9552149394996885;267.72298423706917],1019.18:274.74735961677015;475.68636127207276;-3.0992943781079925;7.033905984858073;-3.9324578825655343;268.7441253869725]
[-8.78:-278.2502716810017;14.655132286367575;-19.037095938668124;4.984285868469688;-0.6678530963835181;269.53580256121614],80.31:280.2252090672257;-468.3168727396294;-3.5314290362940817;-1.0500991549691192;2.9200972676508776;270.063094596016],0.0:-280.3286857939331;-3.871909189279023;18.84439338829292;-9.53823801276667;4.603358508302254;270.2910810993836],1018.05:279.1013501138866;462.6144940998548;10.689122304416971;-9.069010308181909;3.7126616574069975;271.00138213261647]
[-7.51:-277.5297982526556;6.67702214913561;-11.074254790500738;1.2492007660786122;1.344317831475101;271.823512296467],82.43:276.40695732211975;-460.13434572379873;-14.78868684121667;9.192263213850165;-0.9294966861627127;272.6833087152082],0.0:-275.9685680930628;-0.38404249494502096;-5.304582338806747;10.817960800136436;-2.6673763864348055;273.5066085131129],1017.35:275.99747354185126;460.9866798765738;4.77674914196193;4.963975531686523;-3.594126813904217;274.2192487218307]
[-7.03:-276.1896763458715;-7.316322586316744;9.23511628695533;-3.830946947787143;-3.761229549347102;274.8330591423672],81.45:276.4176623514444;-463.99195602967416;6.369710342898999;-9.66782180397804;-2.450672878204937;274.77307801751374],0.0:-276.70197665091973;10.331544524105368;-1.1246562935442488;-6.844213985137816;1.274402309850766;273.06490009564567],1017.05:277.00345697501245;467.52609191439416;-4.317617281657522;2.8164628339501876;3.3510223404299344;270.6705832178707]
[-6.74:-277.09566597704554;-7.3679196544985075;-0.9065674313307936;6.568311327954904;3.19975307292261;268.86208866199735],79.69:276.67123198539974;-470.3441601983617;1.9753312918309514;3.598526122324756;-3.1425935912588834;270.9316643900651],0.0:-275.6045158001989;7.744040301453083;0.2617843691463311;-3.8263821885407308;-1.7499337599191027;273.1750070780593],1016.31:274.1406420506113;471.9223172378674;-1.2767417288643017;-3.4226824393319415;2.8411931960335983;272.1052716836839]
[-6.22:-272.82418685563516;-7.3818170530302325;0.6765302608370538;2.0973229781478273;0.8953925568057173;270.3167581128747],71.56:272.18331767242495;-472.35466637696095;1.1698935756724795;1.6538180319113234;-1.4483561102540359;270.35599320720627],0.0:-272.3894228368632;3.7863496995388175;-0.8639875439764149;0.398669466165016;-2.067426577099184;271.13581779223495],1015.33:273.14773633547895;472.0953515214141;-0.6301473542535075;-0.2126666299600204;-0.6946798302838036;271.6244059576043]
[-6.79:-273.899899326152;-4.772750308285509;0.19950930232781589;-0.3478254274892699;0.9957348763213401;271.03523088327756],72.06:274.17869196864655;-471.7417613190324;-0.5514337200491926;-0.593417259318233;1.047656596634632;269.72026373311866],0.0:-273.85509239978455;6.5441023539428045;-0.0067583908746846055;-0.8917473113941462;-0.0033015234877209476;268.21279727159833],1014.24:273.1309704390892;471.85710286726066;1.900818356483358;0.4353741069774651;-0.7220078895436572;267.637742119733]
[-5.73:-272.33684601162145;-4.984044495953015;2.4049202915434664;1.2378514363323418;-0.5098129744317585;268.4579317541304],68.69:271.71454992041294;-472.77484945397225;2.0492532277806736;-1.7083221660334351;0.09034442349768018;269.31902404831436],0.0:-271.3266072562083;4.149986865222786;1.536075078654481;-2.6623515086170126;0.37930439340707733;267.92359242754094],1013.97:271.1056638338613;474.4206714870683;0.1481951797966805;0.20201329500274778;0.9710061892331214;267.1224500150379]
[-4.64:-270.95866172523455;-4.894923547153212;-2.1682985639834076;4.042816039519495;1.1514387323904463;268.18762906446125],66.31:270.8378375334237;-476.26693707133984;-5.019066630659788;4.80393101633568;0.9391212387721319;271.0151139134681],0.0:-270.7536013569867;1.273201882232371;-6.735588200844408;3.1502137071772025;0.2289820411248905;272.83679192729664],1014.28:270.75389403194373;477.48841889920374;-4.141756706939772;-2.4192377253734207;-0.7158206071174282;273.3145021082832]
[-4.29:-270.89342805173743;-0.06733611810835782;2.0608018408016715;-6.203799935671235;-1.9839974389053328;272.7977597036206],67.81:271.1994602232219;-477.26362306652015;9.867502553933475;-4.5954752616337;-2.6867912275861485;271.2889267785846],0.0:-271.64803687796507;-5.045041850342642;8.627433459722203;0.054599506445580204;-1.599049362551725;269.6100951246916],1014.42:272.17532128426984;475.0888153620119;-8.307617605718558;6.344456085674117;0.5425079150068484;268.57651695875575]
[-4.18:-272.7228744470518;7.225066500400629;-12.151934567775596;2.8312134852234956;2.170239267150605;268.46828976205273],75.13:273.27390967863874;-470.99536201349235;4.776825077723887;-5.5120435846489375;4.296346759000759;269.2903240827779],0.0:-273.8400892882651;-8.83056989053486;12.33617345302528;-4.143666337666222;3.4679459004859643;271.01020616295494],1012.7:274.41204664069704;465.6269567681934;-1.1501774632966937;2.24325191673758;-1.447816415561441;273.0157385532301]
[-4.32:-274.92790266788637;9.371340468753544;-11.208616999667594;3.509731389767197;-5.134925302777857;274.0703731118111],83.26:275.296708614066;-460.1615550149023;-0.9340500882005616;0.21639067828782443;-5.298504984602672;274.1410107953517],0.0:-275.4640991080066;-4.660517513977624;10.253284155458665;-2.1704749825309047;-1.421030086591934;273.4628375356484],1011.48:275.4736552759066;456.0544022023198;6.003127962515164;-1.2694723544071884;2.6506888211214434;272.5675980925442]
[-2.92:-275.47247012275113;0.638191871851518;-4.653679839943465;-0.06335455483981867;5.0563654473456605;271.5749471983372],86.88:275.6282159346872;-454.6076861732312;-10.375251200299367;0.36372937821846785;4.84967840337488;271.02131365725],0.0:-275.9759841302332;8.432749391410283;-6.061172901313334;0.6629024374694394;1.823308972883613;271.11819622978317],1010.18:276.2890734258717;456.4787409348778;6.533439924326686;0.8528993280201582;-1.6054331573732201;271.6312795442768]
