avgHourlyAirTemp,IMF1 avgHourlyAirTemp,IMF2 avgHourlyAirTemp,IMF3 avgHourlyAirTemp,IMF4 avgHourlyAirTemp,IMF5 avgHourlyAirTemp,IMF Res avgHourlyAirTemp,avgHourlyHumidity,IMF1 avgHourlyHumidity,IMF2 avgHourlyHumidity,IMF3 avgHourlyHumidity,IMF4 avgHourlyHumidity,IMF5 avgHourlyHumidity,IMF Res avgHourlyHumidity,avgHourlyRainfallRate,IMF1 avgHourlyRainfallRate,IMF2 avgHourlyRainfallRate,IMF3 avgHourlyRainfallRate,IMF4 avgHourlyRainfallRate,IMF5 avgHourlyRainfallRate,IMF Res avgHourlyRainfallRate,avgHourlyBarometricPressure,IMF1 avgHourlyBarometricPressure,IMF2 avgHourlyBarometricPressure,IMF3 avgHourlyBarometricPressure,IMF4 avgHourlyBarometricPressure,IMF5 avgHourlyBarometricPressure,IMF Res avgHourlyBarometricPressure
-11,172.6706054,-385.205214,-96.74516389,40.53909625,2.237708902,255.5029673,46.72,89.55810413,-247.3279182,-93.54292023,40.27758393,2.239775866,255.5153745,0,-318.7331613,105.3777321,-83.93619077,39.49304738,2.24597679,255.5525958,1020.77,307.8291809,484.8093694,-67.92497977,38.1854866,2.256311675,255.6146313
-10.72,-280.4676654,12.24676332,-36.82626097,36.3549016,2.27078052,255.7014809,47.49,247.9840945,-485.8128948,-6.785020131,34.00129236,2.289383325,255.8131448,0,-230.071801,-63.64377366,4.329172916,31.12465889,2.312120091,255.9496228,1020.58,234.2297308,488.0963358,12.07902284,27.72500481,2.338990816,256.110915
-10.36,-253.2653458,-46.32828195,12.22424348,18.3423674,2.369995502,256.2970214,47.43,272.5984324,-490.7498345,-2.101770633,8.770096645,2.405134148,256.507942,0,-281.9330069,34.16917065,-11.0754623,-0.348784949,2.444406755,256.7436767,1019.94,280.4980045,492.3482737,-10.93245229,-1.465865009,2.487813377,257.0042257
-10.08,-274.1127847,4.527063732,-1.124350476,0.407978832,2.932503807,257.2895888,47.91,268.8322601,-492.5625916,8.8454201,1.29273296,3.902412386,257.5997661,0,-267.0103065,-4.727815496,8.734228117,0.676574131,4.392563021,257.9347567,1020.16,267.5614506,491.8020418,1.71727896,-1.337029304,-1.024373541,261.4406315
-9.22,-268.3862192,3.213890766,-6.261105436,1.711794055,-4.518409409,265.0200493,46.06,268.2738419,-490.2894376,0.059948558,2.122355865,-0.331106823,266.2243981,0,-267.2967669,-9.832997057,7.033512123,-0.808651357,4.078536368,266.8263669,1018.56,266.2865037,487.467697,-4.413189137,-2.976890709,4.856881042,267.3389981
-8.55,-266.2101575,3.569574939,-10.81718731,-4.20296971,2.191171497,266.9195681,53.79,267.7188928,-482.5629425,5.792915041,-2.070211146,-1.928374779,266.8397205,0,-270.8189317,-11.66861581,15.75656341,3.963214822,-4.955214939,267.7229842,1019.18,274.7473596,475.6863613,-3.099294378,7.033905985,-3.932457883,268.7441254
-8.78,-278.2502717,14.65513229,-19.03709594,4.984285868,-0.667853096,269.5358026,80.31,280.2252091,-468.3168727,-3.531429036,-1.050099155,2.920097268,270.0630946,0,-280.3286858,-3.871909189,18.84439339,-9.538238013,4.603358508,270.2910811,1018.05,279.1013501,462.6144941,10.6891223,-9.069010308,3.712661657,271.0013821
-7.51,-277.5297983,6.677022149,-11.07425479,1.249200766,1.344317831,271.8235123,82.43,276.4069573,-460.1343457,-14.78868684,9.192263214,-0.929496686,272.6833087,0,-275.9685681,-0.384042495,-5.304582339,10.8179608,-2.667376386,273.5066085,1017.35,275.9974735,460.9866799,4.776749142,4.963975532,-3.594126814,274.2192487
-7.03,-276.1896763,-7.316322586,9.235116287,-3.830946948,-3.761229549,274.8330591,81.45,276.4176624,-463.991956,6.369710343,-9.667821804,-2.450672878,274.773078,0,-276.7019767,10.33154452,-1.124656294,-6.844213985,1.27440231,273.0649001,1017.05,277.003457,467.5260919,-4.317617282,2.816462834,3.35102234,270.6705832
-6.74,-277.095666,-7.367919654,-0.906567431,6.568311328,3.199753073,268.8620887,79.69,276.671232,-470.3441602,1.975331292,3.598526122,-3.142593591,270.9316644,0,-275.6045158,7.744040301,0.261784369,-3.826382189,-1.74993376,273.1750071,1016.31,274.1406421,471.9223172,-1.276741729,-3.422682439,2.841193196,272.1052717
